origin,destination,count
AL,AL,1.02
AL,AT,2.76
AL,BA,1.06
AL,BE,4.27
AL,BG,1.88
AL,BY,1.04
AL,CH,2.03
AL,CY,1.49
AL,CZ,1.51
AL,DE,7.21
AL,DK,2.55
AL,EE,1.36
AL,EL,3.81
AL,ES,8.84
AL,FI,2.52
AL,FR,4.81
AL,HR,1.49
AL,HU,1.48
AL,IE,2.14
AL,IL,1.16
AL,IN,1.05
AL,IS,1.06
AL,IT,6.61
AL,LT,1.17
AL,LU,1.15
AL,LV,1.19
AL,MA,1.03
AL,MC,1.03
AL,ME,1.05
AL,MK,1.12
AL,MT,1.07
AL,NL,3.87
AL,NO,1.98
AL,PL,1.93
AL,PT,2.83
AL,RO,1.75
AL,RS,1.39
AL,RU,1.13
AL,SE,2.44
AL,SI,2.25
AL,SK,1.18
AL,TR,1.53
AL,UA,1.09
AL,UK,4.34
AL,US,1.03
AT,AL,2.76
AT,AT,2.73
AT,BA,2.78
AT,BE,5.99
AT,BG,3.59
AT,BY,2.75
AT,CH,3.74
AT,CY,3.2
AT,CZ,3.23
AT,DE,8.92
AT,DK,4.26
AT,EE,3.07
AT,EL,5.53
AT,ES,10.55
AT,FI,4.24
AT,FR,6.53
AT,HR,3.2
AT,HU,3.19
AT,IE,3.85
AT,IL,2.87
AT,IN,2.76
AT,IS,2.78
AT,IT,8.33
AT,LT,2.89
AT,LU,2.86
AT,LV,2.91
AT,MA,2.74
AT,MC,2.74
AT,ME,2.76
AT,MK,2.83
AT,MT,2.79
AT,NL,5.58
AT,NO,3.7
AT,PL,3.64
AT,PT,4.55
AT,RO,3.47
AT,RS,3.1
AT,RU,2.84
AT,SE,4.15
AT,SI,3.96
AT,SK,2.9
AT,TR,3.25
AT,UA,2.81
AT,UK,6.05
AT,US,2.74
BA,AL,1.06
BA,AT,2.78
BA,BA,1.04
BA,BE,4.29
BA,BG,1.9
BA,BY,1.06
BA,CH,2.05
BA,CY,1.5
BA,CZ,1.53
BA,DE,7.23
BA,DK,2.57
BA,EE,1.38
BA,EL,3.83
BA,ES,8.86
BA,FI,2.54
BA,FR,4.83
BA,HR,1.5
BA,HU,1.5
BA,IE,2.16
BA,IL,1.17
BA,IN,1.06
BA,IS,1.08
BA,IT,6.63
BA,LT,1.19
BA,LU,1.17
BA,LV,1.21
BA,MA,1.05
BA,MC,1.05
BA,ME,1.06
BA,MK,1.14
BA,MT,1.09
BA,NL,3.89
BA,NO,2
BA,PL,1.94
BA,PT,2.85
BA,RO,1.77
BA,RS,1.4
BA,RU,1.15
BA,SE,2.46
BA,SI,2.27
BA,SK,1.2
BA,TR,1.55
BA,UA,1.11
BA,UK,4.36
BA,US,1.05
BE,AL,4.27
BE,AT,5.99
BE,BA,4.29
BE,BE,4.25
BE,BG,5.11
BE,BY,4.26
BE,CH,5.25
BE,CY,4.71
BE,CZ,4.74
BE,DE,10.43
BE,DK,5.78
BE,EE,4.58
BE,EL,7.04
BE,ES,12.07
BE,FI,5.75
BE,FR,8.04
BE,HR,4.71
BE,HU,4.7
BE,IE,5.36
BE,IL,4.38
BE,IN,4.27
BE,IS,4.29
BE,IT,9.84
BE,LT,4.4
BE,LU,4.37
BE,LV,4.42
BE,MA,4.25
BE,MC,4.25
BE,ME,4.27
BE,MK,4.35
BE,MT,4.3
BE,NL,7.1
BE,NO,5.21
BE,PL,5.15
BE,PT,6.06
BE,RO,4.98
BE,RS,4.61
BE,RU,4.36
BE,SE,5.67
BE,SI,5.47
BE,SK,4.41
BE,TR,4.76
BE,UA,4.32
BE,UK,7.56
BE,US,4.25
BG,AL,1.88
BG,AT,3.59
BG,BA,1.9
BG,BE,5.11
BG,BG,1.85
BG,BY,1.87
BG,CH,2.86
BG,CY,2.32
BG,CZ,2.35
BG,DE,8.04
BG,DK,3.38
BG,EE,2.19
BG,EL,4.65
BG,ES,9.67
BG,FI,3.36
BG,FR,5.65
BG,HR,2.32
BG,HU,2.31
